name,description,price
Regrant,Roofing (Asphalt),39
Kanlam,Casework,38
Tresom,Curb & Gutter,40
Tresom,Construction Clean and Final Clean,34
Regrant,Structural & Misc Steel Erection,23
Zathin,Elevator,33
Vagram,Granite Surfaces,90
Duobam,Casework,14
Daltfresh,Epoxy Flooring,38
Greenlam,Framing (Wood),32
Konklux,Plumbing & Medical Gas,83
Cardguard,Marlite Panels (FED),83
Bitwolf,Ornamental Railings,11
Fixflex,"Temp Fencing, Decorative Fencing and Gates",69
Subin,Fire Protection,83
Zontrax,Framing (Wood),64
Bitwolf,Painting & Vinyl Wall Covering,52
Trippledex,Marlite Panels (FED),3
Stronghold,Asphalt Paving,79
Alpha,Framing (Steel),26
Zathin,Masonry & Precast,79
Alpha,Hard Tile & Stone,37
Cookley,Painting & Vinyl Wall Covering,77
Keylex,Drilled Shafts,14
Quo Lux,Overhead Doors,54
Alpha,Drilled Shafts,28
Sub-Ex,Fire Sprinkler System,24
Zaam-Dox,Masonry & Precast,74
Biodex,Elevator,28
Mat Lam Tam,Ornamental Railings,81
